"Konto";"Kontonavn"
"1234.56.78901";"DEMO VERKSTED AS"
"Inngående saldo";"Utgående saldo";"Sum inn på konto";"Sum ut av konto"
"10.000,00";"27.426,60";"39.967,35";"-22.540,75"
"Bokført dato";"Forklarende tekst";"Status";"Transaksjonstype";"Rentedato";"Ut";"Inn";"Arkivref.";"Referanse"
"03.08.2026";"Strøm Øst AS";"B";"Giro";"03.08.2026";"-2.450,00";"";"800000000";"3000000"
"03.08.2026";"Dekk & Felg Engros";"B";"Overføring innland";"03.08.2026";"-8.900,50";"";"800000001";"3000001"
"04.08.2026";"Kari Nordmann";"B";"Overføring innland";"04.08.2026";"";"12.500,00";"800000002";"3000002"
"05.08.2026";"Forsikring Nord";"B";"Giro";"05.08.2026";"-1.330,49";"";"800000003";"3000003"
"06.08.2026";"Ola Hansen";"B";"Giro";"06.08.2026";"";"4.375,00";"800000004";"3000004"
"10.08.2026";"Verktøy Sør AS";"B";"Visa";"10.08.2026";"-3.199,00";"";"800000005";"3000005"
"12.08.2026";"Åse Bjørnstad";"B";"Overføring innland";"12.08.2026";"";"7.800,00";"800000006";"3000006"
"14.08.2026";"Telenor Norge";"B";"Giro";"14.08.2026";"-786,76";"";"800000007";"3000007"
"18.08.2026";"Ærlig Regnskap AS";"B";"Giro";"18.08.2026";"-4.375,00";"";"800000008";"3000008"
"20.08.2026";"Kontantsalg uke 34";"B";"Innskudd";"20.08.2026";"";"15.250,25";"800000009";"3000009"
"25.08.2026";"Øvre Bilrekvisita";"B";"Visa";"25.08.2026";"-1.499,00";"";"800000010";"3000010"
"31.08.2026";"Renter";"B";"Renter";"31.08.2026";"";"42,10";"800000011";"3000011"
